School Name,Free/Reduced Lunch Count
Early Childhood Special Education,18
Bayview Elementary,87
Laketown Elementary,40
Waconia Middle School,126
Waconia High School,143
Transitions 110,
Waconia Learning Center,
Watertown-Mayer Community Learning Center,7
Watertown-Mayer Elementary School,177
Watertown-Mayer Middle,111
Watertown Mayer High,129
Chaska High School,367
Chaska Middle School East,71
Chaska Middle School West,101
Pioneer Ridge Middle School,87
Chanhassen High School,215
INTEGRATED ARTS ACADEMY,24
112 ALC Middle School,148
112 ALC Independent Study,
Steps Toward Adult Responsibility,24
La Academia,120
Carver Elementary School,168
Chanhassen Elementary,92
Early Childhood Special Education,9
Kinder Academy,8
Bluff Creek Elementary,97
Clover Ridge Elementary,167
Victoria Elementary,39
Jonathan Elementary,95
The Anicca Program,
W.H.A. Elementary,262
Walker-Hackensack-Akeley Sec.,168
Cass Lake-Bena Elementary,395
Cass Lake-Bena Middle School,256
Cass Lake-Bena Secondary,200
Cass Lake-Bena Area Lrng. Cntr.,84
Pillager Elementary,248
Pillager Senior High School,133
Pillager Middle School,177
Northland Elementary,170
Northland Secondary,
Little Sand,
Ramsey Elementary,183
Sanford Elementary School,157
Montevideo Middle,261
Montevideo Senior High,193
Hawks Nest Early Childhood Education Center,21
North Branch Area Middle School,238
North Branch Area High School,246
NORTH BRANCH AREA EDUCATION CENTER,86
Sunrise River Elementary School,353
Norse Area Learning Center,
Distance Learning Academy - Secondary,28
Distance Learning Academy - Elementary,
C.E. Jacobson Elementary,201
Rush City Secondary,137
Barnesville Elementary,121
Barnesville Secondary,85
Hawley Elementary,115
Spring Prairie Elementary,
Hawley Secondary,
Probstfield Center For Education,152
Probstfield Elementary,66
Dorothy Dodds Elementary School,298
Robert Asp Elementary,341
Ellen Hopkins Elementary,416
S.G. Reinertsen Elementary,261
Horizon Middle School,1012
Moorhead High School,811
West Central Academy-S,
West Central Academy-N,
Moorhead Alternative Learning Center,104
MN Academy For The Blind,26
MN Academy For The Deaf,61
Bagley Elementary,305
Bagley Secondary,
Bagley ALP,
Cook County Middle,40
Cook County Senior High,76
Sawtooth Mountain Elementary,93
Mountain Lake Elementary,166
Mountain Lake Secondary,135
Early Childhood Learning Center,6
Windom Senior High,154
Windom Middle,181
Windom Area Elementary,258
Brainerd Early Childhood Sp. Ed.,
Baxter Elementary,185
Garfield Elementary,168
Harrison Elementary,151
Lowell Elementary,151
Riverside Elementary,286
Brainerd Senior High,604
Nisswa Elementary,76
Lincoln Education Center,71
ISD 181 Learning Center,97
Middle Level Alternative Program,
Forestview Middle,731
Crosby-Ironton Secondary,210
Cuyuna Range Elementary,280
Eagle View Elementary,244
Pequot Lakes Middle,214
Pequot Lakes Senior High,208
Burnsville High School,1309
Eagle Ridge Middle School,459
ONE91 Virtual Academy Secondary,122
Joseph Nicollet Middle School,501
BES Transition Program,29
ONE91 Virtual Academy Elementary,42
Diamondhead Ready to Learn,
Early Education Program & Services,130
Gideon Pond Elementary,219
Edward Neill Elementary,245
Vista View Elementary,246
William Byrne Elementary,331
Rahn Elementary,232
Sky Oaks Elementary,363
Hidden Valley Elementary,353
Harriet Bishop Elementary,362
Burnsville Sr High Extended Day Program,
Burnsville Alternative High School,153
Farmington Elementary,244
Farmington High School,472
Levi P. Dodge Middle School,191
North Trail Elementary,200
Robert Boeckman Middle School,214
Meadowview Elementary,202
Riverview Elementary,112
Akin Road Elementary,167
Lakeville North High,311
Lakeville South High,464
McGuire Middle,196
Lakeville Online Academy (High School Services),33
Lakeville Online Academy (Middle School Services),
Lakeville Online Academy (Elementary Services),21
Kenwood Trail Middle School,236
Century Middle School,133
Children's MN - Lakeville,
Lakeville Early Childhood Program,79
Lakeville Pathways Academy (Extension Services),35
Kennedy Elementary,154
Huddleston Elementary,159
Orchard Lake Elementary,161
Lake Marion Elementary,214
Cherry View Elementary,121
Lakeview Elementary,115
Eastview Elementary,112
Oak Hills Elementary,181
Randolph Elementary,102
Randolph Secondary,71
Transition Plus,69
Dakota Hills Middle,209
Black Hawk Middle,357
ABE Diploma Program,
Rosemount Senior High,466
Rosemount Middle,261
Eagan Senior High,504
Rosemount Area Learning Center,132
School of Environmental Studies,98
196Online High School,48
Falcon Ridge Middle,329
Eastview Senior High,659
Scott Highlands Middle,346
Apple Valley Senior High,942
Valley Middle School of STEM,477
Dakota Ridge School,70
Dakota Valley Learning Center,
Rosemount Elementary,210
Northview Elementary,93
Westview Elementary,212
Southview Elementary,234
Parkview Elementary,280
Diamond Path Elementary School of International Studies,204
Greenleaf Elementary,334
"Cedar Park Elementary School of Science, Technology, Engineering and Math",318
Thomas Lake Elementary,135
"Echo Park Elementary School of Leadership, Engineering and Technology",372
Highland Elementary,186
Deerwood Elementary,160
Woodland Elementary,91
Pinewood Community Elementary,110
Shannon Park Elementary,87
"Oak Ridge Elementary School of Leadership, Environmental and Health Sciences",312
East Lake Elementary School,147
Glacier Hills Elementary School of Arts and Science,218
Red Pine Elementary,153
Cooperative Area Learning Prg.,
Friendly Hills Middle,332
Two Rivers High School,812
Heritage E-STEM Magnet School,406
Moreland Art/Health Science Magnet,256
Mendota Elementary,97
Garlough Environmental Magnet,228
Somerset Elementary,103
Pilot Knob STEM Magnet School,211
Early Learning Resource Center,6
Branch Out Transitional Services,
Aspen House Education Program,
Special Education,
Simley Senior High,527
Inver Grove Heights Middle,468
199 Online High School,22
Simley Alternative Program,22
Atheneum Elementary,18
Hilltop Elementary,370
Pine Bend Elementary,262
Salem Hills Elementary,168
IGH Early Childhood Program,50
STAARS,
Hastings High School,354
Hastings Middle School,360
Hastings Alternative Center,
Hastings Early Child Special Ed.,43
Kennedy Elementary,169
Pinecrest Elementary,131
Christa McAuliffe Elementary,183
HAYFIELD SECONDARY,123
Hayfield Elementary,122
Kasson-Mantorville Elementary,200
Kasson-Mantorville Senior High,146
Kasson-Mantorville Middle School,146
Carlos Elementary,43
Garfield Elementary,27
Lincoln Elementary,188
Miltona Elementary,31
Woodland Elementary School,192
Voyager Elementary,141
Early Education Center,70
Discovery Middle School,302
Alexandria Area High School,313
Osakis Elementary,176
Osakis Secondary,146
Chatfield Secondary,
Chatfield Elementary School,122
FOCUS ALP,
Lanesboro Elementary,98
Lanesboro Secondary,59
Mabel-Canton Elementary,49
Mabel-Canton Secondary,37
Rushford-Peterson Elementary,102
Rushford-Peterson Senior High,62
Rushford-Peterson Middle,53
Halverson Elementary,273
Brookside Early Childhood Special Education,31
Hawthorne Elementary,269
Lakeview Elementary,232
Sibley Elementary,182
Albert Lea Senior High,682
Southwest Middle,275
Albert Lea Area Learning Center,90
Alden-Conger Secondary,75
Alden-Conger Elementary,89
Cannon Falls Elementary,134
Cannon Falls Secondary,159
Goodhue Elementary,102
Goodhue Secondary,70
Pine Island Elementary,130
Pine Island Middle,89
Pine Island Secondary,
Pine Island High School ALP,
Red Wing Senior High,292
Twin Bluff School,161
Burnside Elementary,205
Sunnyside Elementary,157
Colvill Family Education Center,31
Ashby Elementary,65
Ashby Secondary,52
Herman Elementary,31
Herman Secondary,17
Transition Plus,19
Hopkins Senior High,794
Hopkins North Middle School,316
Hopkins West Middle School,249
VirtualEDU Elementary,22
VirtualEDU Secondary,75
Alice Smith Elementary,252
Glen Lake Elementary,105
Harley Hopkins Family Center,69
Eisenhower Elementary,231
L.H. Tanglen Elementary,261
Xinxing Academy,34
Gatewood Elementary,230
Meadowbrook Elementary,178
Kennedy Senior High,1042
Jefferson Senior High,505
Oak Grove Middle,259
Valley View Middle,477
Olson Middle,210
New Code Academy Middle School,49
Washburn Elementary,248
Hillcrest Elementary,90
Indian Mounds Elementary,282
Olson Elementary,198
Oak Grove Elementary,223
Normandale Hills Elementary,204
Poplar Bridge Elementary,157
Ridgeview Elementary,106
Valley View Elementary,432
Westwood Elementary,158
New Code Academy Elementary,51
Bloomington ECSE,124
Bloomington Transition Center,44
New Code Academy High School,45
Choice Academy,78
Beacon ALP,91
Eden Prairie Senior High,854
Central Middle School,573
Eden Prairie Online Secondary,141
Eden Prairie Online Elementary,105
Oak Point Elementary,229
Prairie View Elementary,221
Forest Hills Elementary,205
Eden Lake Elementary,208
Early Childhood Special Ed.,49
Eagle Heights Spanish Immersion,67
Cedar Ridge Elementary,145
Tassel Transition,30
South View Middle,190
Valley View Middle,191
Edina Senior High,490
Edina Secondary Virtual Pathway,30
Special Ed-Non Public,
Concord Elementary,83
Cornelia Elementary,171
Countryside Elementary,99
Highlands Elementary,80
Creek Valley Elementary,106
Normandale Elementary,51
Early Childhood Special Ed,
Options At Edina High School,60
Tonka Online K-5,3
Tonka Online,27
Minnetonka Senior High,372
Minnetonka East Middle,132
Shorewood Education Center,12
Minnetonka West Middle,127
Clear Springs Elementary,97
Deephaven Elementary,80
Excelsior Elementary,65
Groveland Elementary,51
Minnewashta Elementary,49
Scenic Heights Elementary,80
Deephaven Education Center,17
MOUND WESTONKA HIGH SCHOOL,176
Grandview Middle School,103
Shirley Hills Primary School,118
Hilltop Primary School,80
Westonka Sp Ed ECFE,13
Transition Plus,6
Orono Senior High,118
Orono Middle,84
Schumann Elementary,60
Orono Intermediate Elementary,57
Orono Discovery Center,3
Osseo Senior High,1306
"Brooklyn Middle School, a Science, Technology, Engineering, Art and Math School",673
Osseo Middle School,484
Osseo Education Center,51
North View Middle School,386
Park Center IB World School,1439
Maple Grove Senior High,543
Maple Grove Middle School,502
Woodland Elementary,337
Edinbrook Elementary,496
Rush Creek Elementary,137
Basswood Elementary,158
Birch Grove School For The Arts,360
Crest View Elementary,195
"Weaver Lake Science, Math & Technology School",240
Fair Oaks Elementary,306
Garden City Elementary,292
Palmer Lake Elementary,366
Park Brook Elementary,247
"Zanewood Community School, Science, Technology, Engineering, Arts and Math",248
Cedar Island Elementary,165
Elm Creek Elementary,210
Rice Lake Elementary,250
Fernbrook Elementary,204
Oak View Elementary,232
Early Childhood Special Education,182
ALC Senior High,122
279Online Learning Program K-5,54
279Online Learning Program 6-8,70
279Online Learning Program 9-12,103
Central Education Center PreK,30
Richfield Senior High,742
Richfield STEM School,272
Richfield Middle,465
Centennial Elementary,240
Central Education Center,57
Secondary Special Education,15
Sheridan Hills Elementary,209
Richfield Dual Language School,257
Richfield College Experience Program,44
Forest Elementary,345
Lakeview Elementary,264
School of Engineering-Arts At Olson,140
Meadow Lake Elementary,426
Neill Elementary,276
Robbinsdale Spanish Immersion El.,257
Noble Elementary,191
Northport Elementary,362
FAIR School Pilgrim Lane,194
Sonnesyn Elementary,222
Zachary Lane Elementary,147
Plymouth Middle,363
Robbinsdale Middle,472
Sandburg Middle School,222
Robbinsdale Cooper Senior High,1053
Robbinsdale Armstrong Senior High,755
Robbinsdale Shared Time Program,
Early Childhood Special Education,133
Robbinsdale Transition Center,32
Highview ALC,167
Robbinsdale Virtual Academy,114
Robbinsdale Virtual Academy K-5,
The FAIR School - Crystal,162
St. Anthony Village Senior High,227
Wilshire Park Elementary,206
St. Anthony Middle,142
Early Childhood Special Education (ECSE),
Special Education Nonpublic,
St. Louis Park Senior High,552
St. Louis Park Middle School,349
Aquila Elementary,233
Peter Hobart Elementary,209
Susan Lindgren Elementary,152
St. Louis Park Special Ed. Program,41
Special Ed.,8
Park Spanish Immersion Elementary,71
Wayzata Transition School,14
The Alternative Program (TAP),86
Wayzata High,530
Wayzata West Middle,108
Wayzata East Middle,149
Wayzata Central Middle,217
North Woods Elementary School,42
Meadow Ridge Elementary School,79
Birchview Elementary,148
Greenwood Elementary,77
Oakwood Elementary,94
Sunset Hill Elementary,195
Early Childhood Special Education,51
Plymouth Creek Elementary,80
Gleason Lake Elementary,105
Kimberly Lane Elementary,61
Central Middle Alternative (CMAP),7
Early Childhood Special Education (Birth - Age 2),
Brooklyn Center Middle School,283
Brooklyn Center High School,419
Brooklyn Center ECSE Age 3 - 5,15
Insight School of Minnesota,270
Brooklyn Center Elementary School,633
Brooklyn Center Early College Academy,
Tier One,6
Tier Two,176
Tier Three,114
School #519,
School #527,20
School #530,7
School #531,
School #532,7
School #533,
School #535,
School #540,
South Education Center Academy,39
North Education Center Academy,35
West Education Center Alternative,63
Hennepin Gateway To College,34
SWMetro Shakopee Special Ed,29
SWMetro Level 4 Programs,101
SWMetro ALC,38
SWMetro CCJ,
SWMetro Independent Study,
SWMetro Online Learning,39
SWMetro Reflections,8
SWMetro Passageways,
SWMetro Prairie Care,
SWMetro Annica Program,5
SWMetro Level 3,8
SWMetro Waseca,8
SWMetro Waseca-Transitions,6
SWMetro Lakeside Academy,11
SWMetro JAF,
SWMetro Buffalo-Transitions,6
Summit Learning Program,20
Minnesota Virtual Academy Elementary,324
Houston Elementary,92
Minnesota Virtual Academy Middle School,230
Minnesota Virtual Academy High School,508
Houston Secondary,64
Spring Grove Elementary,73
Spring Grove Secondary,48
Caledonia Elementary,87
Caledonia Middle,40
Caledonia Senior High,52
La Crescent-Hokah Elementary,96
La Crescent Senior High,78
LA CRESCENT-HOKAH MIDDLE SCHOOL,71
Laporte Elementary,121
Laporte Secondary,62
Laporte Middle School,50
Nevis Elementary,185
Nevis Secondary,135
Park Rapids Area Century Elementary,371
Park Rapids Senior High,216
Park Rapids Area Century Middle,228
Century Middle School Within A School,
HEADWATERS EDUC LEARNING PROGRAM,41
Park Rapids Area Virtual Academy - High School,7
Park Rapids Area Virtual Academy - Middle School,
Braham Area Secondary,138
Braham Elementary,208
Vandyke Elementary,235
Marble Early Childhood Center,15
Greenway Middle,151
Greenway Senior High,151
Deer River Secondary,284
King Elementary,282
Deer River Schools SPED,
Deer River High School ALP,
Grand Rapids Early Childhood Center,
Cohasset Elementary,124
Bigfork Elementary,98
East Rapids Elementary,369
West Rapids Elementary,314
ITASKIN EDUCATION CENTER,
Bigfork Secondary,84
Grand Rapids Senior High,443
GRAND RAPIDS AREA LEARNING CENTER,92
Robert J. Elkington Middle School,314
Middle Area Learning Center,
Keewatin-Nashwauk Elementary School,177
Nashwauk Secondary,139
Heron Lake-Okabena Elementary,74
Heron Lake-Okabena Secondary,86
Mora Elementary School,413
Mora Secondary,296
MORA ALTERNATIVE LEARNING CENTER,
Mora Middle Level ALC,
Ogilvie Elementary,125
Ogilvie Secondary,94
Prairie Woods Elementary,186
Prairie Meadows Learning Center,9
New London-Spicer Middle,119
New London-Spicer Sr.,105
New London Alternative School,7
Jefferson Learning Center,66
Roosevelt Elementary,438
Kennedy Elementary,490
Lakeland Elementary School,444
Willmar Senior High,756
Willmar Middle School,580
Lakeview School,
Prairie Lakes Education Center,
Lake Park School,
Middle School ALC,24
Willmar Area Learning Center,
Lancaster Elementary,76
Lancaster Secondary,36
Falls Secondary,202
Falls Elementary,194
Littlefork-Big Falls Elementary,90
Littlefork-Big Falls Secondary,81
Northome Secondary,51
Northome Elementary,70
Stevens Elementary,133
Dawson-Boyd Secondary,103
William Kelley Elementary,58
Minnehaha Elementary,160
Wm. M. Kelley Secondary,79
Two Harbors Secondary,190
Lake of The Woods Secondary,88
Lake of The Woods Elementary,113
Cleveland Elementary,99
Cleveland Secondary,82
Lake Agassiz Education Cooperative,32
Intensive Interagency Program,13
Glacial Ridge Transitional Skills Program,7
Midwest Special Education Cooperative,8
Hendricks Elementary,36
Hendricks High School,28
MNVSS,39
Lincoln Elementary - Ivanhoe,14
Lake Benton Elementary,
Lake Benton Secondary,
Marshall High School,391
Park Side Elementary,266
Marshall Middle School,346
MATEC,88
Marshall Early Childhood Voluntary PreK,
Southview Elementary,313
Marshall Career and Technical Institute,
Minneota Elementary,91
Minneota Secondary,84
Lynd Elementary,56
Lynd Middle School,31
Hutchinson Park Elementary,145
Hutchinson Middle,205
Hutchinson Tiger Elementary,159
Hutchinson Senior High,278
Cornerstone,
Hutchinson West Elementary,186
CROW RIVER AREA LEARNING CENTER,19
Hutchinson Night Alt Learning Ctr,
Hutchinson Middle School A.L.C.,37
Hutchinson Transition Assistance PG,15
Lester Prairie Elementary,84
Lester Prairie Secondary,90
Mahnomen Elementary,267
Mahnomen Secondary,218
MAHNOMEN AREA LEARNING CENTER,26
Waubun Elementary,124
Ogema Elementary,183
Waubun Secondary,169
Waubun ALC,34
Newfolden Elementary,48
Marshall County Central High,62
Viking Elementary,44
Grygla Elementary,20
Grygla Secondary,28
Truman Elementary,85
Truman Secondary,58
Eden Valley Elementary,138
Eden Valley Secondary,117
Watkins Elementary,29
Lake Ripley Elementary,307
Litchfield Middle School,200
Litchfield Senior High,158
Litchfield Area Learning Program,13
Litchfield Early Childhood Special Education,24
Cokato Elementary,151
Dassel-Cokato Senior High,139
Dassel Elementary,111
Dassel-Cokato Middle,196
Dassel-Cokato Alternative Ctr.,43
Isle Elementary,154
Isle Secondary,
ISLE AREA LEARNING CENTER,
Princeton Primary School,249
Princeton Intermediate School,259
Princeton Middle School,260
Princeton High School,312
Princeton Online MN,15
Princeton Area Learning Center,14
Onward Transition Program,
Early Childhood Special Education,42
Credit Recovery,
Onamia Primary School,113
Onamia High School,188
Onamia Academy,
KOKESH AREA LEARNING CENTER,
Onamia Elementary School,92
SUCCESS,
Lincoln Elementary,227
Lindbergh Elementary,268
Knight Elementary,62
Community Middle,235
Little Falls Senior High,311
LITTLE FALLS CONTINUING EDUCATION,67
Pioneer Elementary,223
Healy Secondary,222
Royalton Elementary,140
Royalton High School,87
Royalton Middle School,70
Royalton Public Schools Early Childhood Center,8
Swanville Elementary,86
Swanville Secondary,53
Upsala Elementary,63
Upsala Secondary,47
Banfield Elementary,319
Neveln Elementary,251
Southgate Elementary,289
Sumner Elementary,260
Woodson Kindergarten Center,246
Austin Community Learning Center,
Austin Area Learning Center,139
Austin Online Academy,48
Austin Senior High,806
I.J. Holton Intermediate School,449
Ellis Middle,476
New Dominion Academy,
Grand Meadow Elementary,45
Grand Meadow Middle,34
Grand Meadow Senior High,35
Lyle Elementary,70
Lyle Middle,54
Lyle High School,46
LeRoy Elementary,62
LeRoy Secondary,44
Southland Elementary,96
Southland Senior High,40
Southland Middle,44
Fulda Elementary,116
Fulda Secondary,68
Nicollet Elementary School,45
Nicollet High School,
Nicollet Early Childhood Special Education,
Rock Bend HS ALC,
North Elementary School,195
St. Peter High School,251
South Elementary School,125
St. Peter ECSE,36
Oshawa Learning Academy,
St. Peter Middle School,256
Adrian Elementary,114
Adrian Middle,54
Adrian Secondary,53
Ellsworth Elementary,29
Ellsworth Secondary,30
Prairie Elementary,591
Worthington Middle,498
Learning Center,39
Early Childhood,26
Worthington Senior High,775
Learning Center Night,46
Intermediate School,517
Virtual Instruction by Excellence Elementary,194
Virtual Instruction by Excellence Secondary,52
Byron Intermediate School,97
Byron Senior High School,110
Byron Middle School,80
Byron Primary School,104
Dover-Eyota Elementary,121
Dover-Eyota Middle School,54
Dover-Eyota High School,48
Bear Cave Intermediate School,129
Bonner Elementary,134
Stewartville Middle,119
Stewartville Senior High,120
Central Education Center,12
Project Search Mayo Clinic,
Bamber Valley Elementary,142
Bishop Elementary,233
Churchill Elementary,86
Elton Hills Elementary,185
Folwell Elementary,62
Franklin Elementary,319
Montessori at Franklin District-Wide Elementary School,45
Gage Elementary,349
Gibbs Elementary,274
Hoover Elementary,102
Jefferson Elementary,163
Lincoln K-8 District-Wide School,74
Longfellow 45-15 District-Wide Elementary School,141
Overland Elementary School,276
Pinewood Elementary,86
Riverside Central Elementary,289
Sunset Terrace Elementary,231
Washington District-Wide Elementary School,55
Early Childhood Assessment,
Early Childhood Intervention,76
ECSE Community,17
Mighty Oaks Early Learning School,32
Hoover Early Learning School,109
Care & Treatment Hospital/Homebound,
Care & Treatment at ESC,
PrairieCare,17
Southeast Regional Crisis Center,
RPS Online Elementary School,45
RPS Online Middle School,38
RPS Online High School,114
Century Senior High,533
Rochester Alternative Learning Center,295
Rochester Alternative Learning Center Recovery Program,
Credit Recovery,
John Marshall Senior High,646
Mayo Senior High,527
Rochester Academy for Independent Living (RAIL),50
John Adams Middle,314
Dakota Middle School,432
LEAP Launching Emerging Adults Program,
Middle School Right Fit,19
Willow Creek Middle,350
Kellogg Middle,336
Rochester Phoenix Academy,65
